"latin name","polish name","english name","category","status"
"Tichodroma muraria","pomurnik","Wallcreeper","A","l"
"Troglodytes troglodytes","strzyżyk","Eurasian wren","A","L"
"Sturnus vulgaris","szpak","Common starling","A","L"
"Pastor roseus","pasterz","Rosy starling","A","Z"
"Cinclus cinclus","pluszcz","White-throated dipper","A","L"
"Muscicapa striata","muchołówka szara","Spotted flycatcher","A","L"
"Erithacus rubecula","rudzik","European robin","A","L"
"Larvivora sibilans","słowik syberyjski","Rufous-tailed robin","A","z"
"Luscinia megarhynchos","słowik rdzawy","Common nightingale","A","L"
"Luscinia luscinia","słowik szary","Thrush nightingale","A","L"
"Luscinia svecica","podróżniczek","Bluethroat","A","L"
"Tarsiger cyanurus","modraczek","Red-flanked bluetail","A","Z"
"Ficedula parva","muchołówka mała","Red-breasted flycatcher","A","L"
"Ficedula hypoleuca","muchołówka żałobna","European pied flycatcher","A","L"
"Ficedula albicollis","muchołówka białoszyja","Collared flycatcher","A","L"
"Phoenicurus phoenicurus","pleszka","Common redstart","A","L"
"Phoenicurus ochruros","kopciuszek","Black redstart","A","L"
"Monticola saxatilis","nagórnik","Common rock thrush","A","(l) Z"
"Saxicola rubetra","pokląskwa","Whinchat","A","L"
"Saxicola maurus","kląskawka syberyjska","Siberian stonechat","A","z"
"Saxicola rubicola","kląskawka","European stonechat","A","L"
"Oenanthe oenanthe","białorzytka","Northern wheatear","A","L"
"Oenanthe isabellina","białorzytka płowa","Isabelline wheatear","A","Z"
"Oenanthe deserti","białorzytka pustynna","Desert wheatear","A","z"
"Oenanthe hispanica","białorzytka rdzawa","Western black-eared wheatear","A","z"
"Oenanthe pleschanka","białorzytka pstra","Pied wheatear","A","z"
"Oenanthe leucopyga","białorzytka saharyjska","White-crowned wheatear","A","z"
"Zoothera aurea","drozdoń tajgowy","White's thrush","A","Z"
"Geokichla sibirica","drozdaczek ciemny","Siberian thrush","A","Z"
"Turdus viscivorus","paszkot","Mistle thrush","A","L"
"Turdus philomelos","śpiewak","Song thrush","A","L"
"Turdus iliacus","droździk","Redwing","A","L"
"Turdus merula","kos","Common blackbird","A","L"
"Turdus obscurus","drozd oliwkowy","Eyebrowed thrush","A","Z"
"Turdus pilaris","kwiczoł","Fieldfare","A","L"
"Turdus torquatus","drozd obrożny","Ring ouzel","A","L"
"Turdus naumanni","drozd rdzawy","Naumann's thrush","A","z"
"Turdus eunomus","drozd rdzawoskrzydły","Dusky thrush","A","z"
"Turdus atrogularis","drozd czarnogardły","Black-throated thrush","A","Z"
"Turdus ruficollis","drozd rdzawogardły","Red-throated thrush","A","z"
"Prunella collaris","płochacz halny","Alpine accentor","A","L"
"Prunella montanella","płochacz syberyjski","Siberian accentor","A","Z"
"Prunella atrogularis","płochacz czarnogardły","Black-throated accentor","A","z"
"Prunella modularis","pokrzywnica","Dunnock","A","L"
"Passer domesticus","wróbel","House sparrow","A","L"
"Passer montanus","mazurek","Eurasian tree sparrow","A","L"
"Petronia petronia","wróbel skalny","Rock sparrow","B","(l z)"
"Montifringilla nivalis","śnieżka","White-winged snowfinch","A","z"
"Anthus trivialis","świergotek drzewny","Tree pipit","A","L"
"Anthus hodgsoni","świergotek tajgowy","Olive-backed pipit","A","Z"
"Anthus cervinus","świergotek rdzawogardły","Red-throated pipit","A","P"
"Anthus pratensis","świergotek łąkowy","Meadow pipit","A","L"
"Anthus spinoletta","siwerniak","Water pipit","A","L"
"Anthus petrosus","świergotek nadmorski","European rock pipit","A","P"
"Anthus richardi","świergotek szponiasty","Richard's pipit","A","Z"
"Anthus godlewskii","świergotek stepowy","Blyth's pipit","A","z"
"Anthus campestris","świergotek polny","Tawny pipit","A","L"
"Motacilla flava","pliszka żółta","Western yellow wagtail","A","L"
